memid,surname,firstname,address,zipcode,telephone,recommendedby,joindate
0,GUEST,GUEST,GUEST,0,(000) 000-0000,,2022-07-01T00:00:00.000+0000
1,Smith,Darren,"8 Bloomsbury Close, Boston",4321,555-555-5555,,2022-07-02T12:02:05.000+0000
2,Smith,Tracy,"8 Bloomsbury Close, New York",4321,555-555-5555,,2022-07-02T12:08:23.000+0000
3,Rownam,Tim,"23 Highway Way, Boston",23423,(844) 693-0723,,2022-07-03T09:32:15.000+0000
4,Joplette,Janice,"20 Crossing Road, New York",234,(833) 942-4710,1,2022-07-03T10:25:05.000+0000
5,Butters,Gerald,"1065 Huntingdon Avenue, Boston",56754,(844) 078-4130,1,2022-07-09T10:44:09.000+0000
6,Tracy,Burton,"3 Tunisia Drive, Boston",45678,(822) 354-9973,,2022-07-15T08:52:55.000+0000
7,Dare,Nancy,"6 Hunting Lodge Way, Boston",10383,(833) 776-4001,4,2022-07-25T08:59:12.000+0000
8,Boothe,Tim,"3 Bloomsbury Close, Reading, 00234",234,(811) 433-2547,3,2022-07-25T16:02:35.000+0000
9,Stibbons,Ponder,"5 Dragons Way, Winchester",87630,(833) 160-3900,6,2022-07-25T17:09:05.000+0000
10,Owen,Charles,"52 Cheshire Grove, Winchester, 28563",28563,(855) 542-5251,1,2022-08-03T19:42:37.000+0000
11,Jones,David,"976 Gnats Close, Reading",33862,(844) 536-8036,4,2022-08-06T16:32:55.000+0000
12,Baker,Anne,"55 Powdery Street, Boston",80743,844-076-5141,9,2022-08-10T14:23:22.000+0000
13,Farrell,Jemima,"103 Firth Avenue, North Reading",57392,(855) 016-0163,,2022-08-10T14:28:01.000+0000
14,Smith,Jack,"252 Binkington Way, Boston",69302,(822) 163-3254,1,2022-08-10T16:22:05.000+0000
15,Bader,Florence,"264 Ursula Drive, Westford",84923,(833) 499-3527,9,2022-08-10T17:52:03.000+0000
16,Baker,Timothy,"329 James Street, Reading",58393,833-941-0824,13,2022-08-15T10:34:25.000+0000
17,Pinker,David,"5 Impreza Road, Boston",65332,811 409-6734,13,2022-08-16T11:32:47.000+0000
20,Genting,Matthew,"4 Nunnington Place, Wingfield, Boston",52365,(811) 972-1377,5,2022-08-19T14:55:55.000+0000
21,Mackenzie,Anna,"64 Perkington Lane, Reading",64577,(822) 661-2898,1,2022-08-26T09:32:05.000+0000
22,Coplin,Joan,"85 Bard Street, Bloomington, Boston",43533,(822) 499-2232,16,2022-08-29T08:32:41.000+0000
24,Sarwin,Ramnaresh,"12 Bullington Lane, Boston",65464,(822) 413-1470,15,2022-09-01T08:44:42.000+0000
26,Jones,Douglas,"976 Gnats Close, Reading",11986,844 536-8036,11,2022-09-02T18:43:05.000+0000
27,Rumney,Henrietta,"3 Burkington Plaza, Boston",78533,(822) 989-8876,20,2022-09-05T08:42:35.000+0000
28,Farrell,David,"437 Granite Farm Road, Westford",43532,(855) 755-9876,,2022-09-15T08:22:05.000+0000
29,Worthington-Smyth,Henry,"55 Jagbi Way, North Reading",97676,(855) 894-3758,2,2022-09-17T12:27:15.000+0000
30,Purview,Millicent,"641 Drudgery Close, Burnington, Boston",34232,(855) 941-9786,2,2022-09-18T19:04:01.000+0000
33,Tupperware,Hyacinth,"33 Cheerful Plaza, Drake Road, Westford",68666,(822) 665-5327,,2022-09-18T19:32:05.000+0000
35,Hunt,John,"5 Bullington Lane, Boston",54333,(899) 720-6978,30,2022-09-19T11:32:45.000+0000
36,Crumpet,Erica,"Crimson Road, North Reading",75655,(811) 732-4816,2,2022-09-22T08:36:38.000+0000
37,Smith,Darren,"3 Funktown, Denzington, Boston",66796,(822) 577-3541,,2022-09-26T18:08:45.000+0000
